Year,imdb,Title,clean_test,binary,budget,domgross,intgross,,
2010,tt1313092,Animal Kingdom,No Talking between Women,FAIL,4200000,1044039,8078683,,
2010,tt1532503,Beginners,No Talking between Women,FAIL,3200000,5790894,11564267,,
2010,tt1164999,Biutiful,No Talking between Women,FAIL,35000000,5101237,25101237,,
2010,tt1120985,Blue Valentine,Conversation About Men Only,FAIL,1000000,9737892,16566240,,
2010,tt1194417,Casino Jack,No Talking between Women,FAIL,12500000,2039869,2080869,,
2010,tt1020558,Centurion,No Talking between Women,FAIL,15000000,123570,6623570,,
2010,tt1438254,Charlie St. Cloud,No Talking between Women,FAIL,44000000,31206263,48478084,,
2010,tt0800320,Clash of the Titans,Dubious,FAIL,125000000,163214888,493214888,,
2010,tt1385867,Cop Out,No Talking between Women,FAIL,37000000,44875481,55909910,,
2010,tt1336617,Cyrus,No Talking between Women,FAIL,7000000,7468936,10039886,,
2010,tt0989757,Dear John,Less than Two Women,FAIL,25000000,80014842,111362410,,
2010,tt0427152,Dinner for Schmucks,No Talking between Women,FAIL,69000000,73026337,86796502,,
2010,tt1231583,Due Date,No Talking between Women,FAIL,65000000,100539043,211739043,,
2010,tt1013860,Dylan Dog: Dead of Night,Less than Two Women,FAIL,20000000,1186538,6090697,,
2010,tt1226273,Edge of Darkness,No Talking between Women,FAIL,60000000,43313890,81208697,,
2010,tt1531663,Everything Must Go,No Talking between Women,FAIL,5000000,2712131,2712131,,
2010,tt1433108,Faster,Less than Two Women,FAIL,12000000,23240020,35658648,,
2010,tt1323045,Frozen,No Talking between Women,FAIL,150000000,393050114,1004550114,,
2010,tt1226229,Get Him To The Greek,No Talking between Women,FAIL,40000000,61153526,91455875,,
2010,tt0947810,Green Zone,Less than Two Women,FAIL,100000000,35497337,97523020,,
2010,tt1376195,Gunless,Conversation About Men Only,FAIL,9900000,458054,458054,,
2010,tt1231587,Hot Tub Time Machine,No Talking between Women,FAIL,36000000,50269859,63209958,,
2010,tt1375666,Inception,Dubious,FAIL,160000000,292576195,832584416,,
2010,tt0804497,It&#39;s Kind of a Funny Story,No Talking between Women,FAIL,8000000,6363628,6628326,,
2010,tt1250777,Kick-Ass,No Talking between Women,FAIL,28000000,48071303,97527535,,
2010,tt1013743,Knight and Day,Conversation About Men Only,FAIL,117000000,76423035,262142047,,
2010,tt1228987,Let Me In,No Talking between Women,FAIL,20000000,12134935,28270399,,
2010,tt0892318,Letters to Juliet,Dubious,FAIL,30000000,53032453,79135982,,
2010,tt0758752,Love and Other Drugs,Conversation About Men Only,FAIL,30000000,32367005,102719647,,
2010,tt1518812,Meek&#39;s Cutoff,Conversation About Men Only,FAIL,2000000,977772,1869928,,
2010,tt1001526,Megamind,Less than Two Women,FAIL,130000000,148415853,321887208,,
2010,tt1470827,Monsters,Less than Two Women,FAIL,500000,237301,5639730,,
2010,tt0814255,Percy Jackson &amp; the Olympians: The Lightning Thief,Dubious,FAIL,95000000,88768303,226467130,,
2010,tt1424381,Predators,Less than Two Women,FAIL,40000000,52000688,127234389,,
2010,tt0473075,Prince of Persia: The Sands of Time,Less than Two Women,FAIL,200000000,90759676,335059676,,
2010,tt1245526,Red,Conversation About Men Only,FAIL,60000000,90380162,196439693,,
2010,tt0955308,Robin Hood,Dubious,FAIL,210000000,105487148,322459006,,
2010,tt0892791,Shrek Forever After,No Talking between Women,FAIL,165000000,238736787,756244673,,
2010,tt1130884,Shutter Island,No Talking between Women,FAIL,80000000,128012934,296831073,,
2010,tt1564585,Skyline,Dubious,FAIL,10000000,21416355,78693371,,
2010,tt1421051,Somewhere,Dubious,FAIL,7000000,1785645,14385645,,
2010,tt1440292,Submarine,No Talking between Women,FAIL,1900000,467602,4581937,,
2010,tt1512235,Super,No Talking between Women,FAIL,2500000,327716,518362,,
2010,tt1135084,Takers,No Talking between Women,FAIL,32000000,57744720,70587268,,
2010,tt0429493,The A-Team,Less than Two Women,FAIL,110000000,77222099,177241171,,
2010,tt0968264,The Conspirator,Dubious,FAIL,25000000,11538204,15907411,,
2010,tt1320253,The Expendables,No Talking between Women,FAIL,82000000,103068524,268268174,,
2010,tt0964517,The Fighter,Conversation About Men Only,FAIL,11000000,93617009,129262388,,
2010,tt1139328,The Ghost Writer,Conversation About Men Only,FAIL,45000000,15541549,65532491,,
2010,tt0775489,The Illusionist,Less than Two Women,FAIL,16500000,39868642,83792062,,
2010,tt1155076,The Karate Kid,Dubious,FAIL,40000000,176591618,359091618,,
2010,tt0954947,The Killer Inside Me,No Talking between Women,FAIL,13000000,217277,3617277,,
2010,tt0938283,The Last Airbender,No Talking between Women,FAIL,150000000,131772187,319713881,,
2010,tt0480255,The Losers,No Talking between Women,FAIL,25000000,23591432,26714018,,
2010,tt1386588,The Other Guys,Less than Two Women,FAIL,100000000,119219978,170936470,,
2010,tt1285016,The Social Network,No Talking between Women,FAIL,40000000,96962694,224922135,,
2010,tt0963966,The Sorcerer&#39;s Apprentice,No Talking between Women,FAIL,160000000,63150991,215150991,,
2010,tt0889573,The Switch,Conversation About Men Only,FAIL,19000000,27758465,49858465,,
2010,tt1243957,The Tourist,Less than Two Women,FAIL,100000000,67631157,278731369,,
2010,tt0840361,The Town,No Talking between Women,FAIL,37000000,92186262,152566881,,
2010,tt0780653,The Wolfman,No Talking between Women,FAIL,150000000,62189884,142634358,,
2010,tt0435761,Toy Story 3,Dubious,FAIL,200000000,415004880,1063759456,,
2010,tt1104001,Tron Legacy,No Talking between Women,FAIL,200000000,172062763,397562763,,
2010,tt0477080,Unstoppable,Dubious,FAIL,95000000,81562942,169511609,,
2010,tt1027718,Wall Street: Money Never Sleeps,Dubious,FAIL,70000000,52474616,137431619,,
2010,tt1235189,Wild Target,No Talking between Women,FAIL,8000000,109338,109338,,
2010,tt1302067,Yogi Bear,Less than Two Women,FAIL,80000000,100246011,202284317,,
2009,tt1022603,(500) Days of Summer,No Talking between Women,FAIL,7500000,32391374,60803210,,
2009,tt1190080,2012,No Talking between Women,FAIL,200000000,166112167,788408539,,
2009,tt0472033,9,Less than Two Women,FAIL,30000000,31749894,48559999,,
2009,tt0971209,A Perfect Getaway,Dubious,FAIL,14000000,15515460,22815460,,
2009,tt1019452,A Serious Man,Conversation About Men Only,FAIL,7000000,9228788,30360570,,
2009,tt1315981,A Single Man,No Talking between Women,FAIL,7000000,9176000,28142379,,
2009,tt1185836,Adam,Conversation About Men Only,FAIL,3200000,2277396,2828590,,
2009,tt1091722,Adventureland,Conversation About Men Only,FAIL,9800000,16044025,17144025,,
2009,tt1186830,Agora,No Talking between Women,FAIL,70000000,619423,38992292,,
2009,tt1077262,Ajami,Conversation About Men Only,FAIL,1000000,621859,621859,,
2009,tt0808151,Angels &amp; Demons,Less than Two Women,FAIL,150000000,133375846,490875846,,
2009,tt0913354,Armored,Less than Two Women,FAIL,20000000,15988876,23661038,,
2009,tt0375568,Astro Boy,Dubious,FAIL,65000000,19551067,44093014,,
2009,tt0499549,Avatar,Conversation About Men Only,FAIL,425000000,760507625,2783918982,,
2009,tt0889583,Br&uuml;no,Less than Two Women,FAIL,42000000,60054530,130788243,,
2009,tt1210042,Brooklyn&#39;s Finest,No Talking between Women,FAIL,17000000,27163593,39233233,,
2009,tt1232207,Capitalism: A Love Story,No Talking between Women,FAIL,20000000,14363397,19121531,,
2009,tt1352824,Chloe,Conversation About Men Only,FAIL,13000000,3075255,9675172,,
2009,tt0844471,Cloudy with a Chance of Meatballs,No Talking between Women,FAIL,100000000,124870275,236827677,,
2009,tt0433362,Daybreakers,No Talking between Women,FAIL,20000000,30101577,51401577,,
2009,tt1278340,Dead Snow,Conversation About Men Only,FAIL,800000,46742,2194020,,
2009,tt1136608,District 9,No Talking between Women,FAIL,30000000,115646235,215196627,,
2009,tt1191111,Enter the Void,No Talking between Women,FAIL,16000000,337997,337997,,
2009,tt0780511,Everybody&#39;s Fine,Conversation About Men Only,FAIL,20000000,9208876,9208876,,
2009,tt0432283,Fantastic Mr. Fox,No Talking between Women,FAIL,40000000,21002919,46498922,,
2009,tt1013752,Fast &amp; Furious,No Talking between Women,FAIL,85000000,155064265,363064265,,
2009,tt1083456,Fired Up!,No Talking between Women,FAIL,20000000,17231291,18608570,,
2009,tt0758746,Friday the 13th,Conversation About Men Only,FAIL,17000000,65002019,91700771,,
2009,tt1201167,Funny People,No Talking between Women,FAIL,72500000,51855045,71880305,,
2009,tt0436339,G-Force,No Talking between Women,FAIL,150000000,119436770,287389685,,
2009,tt1046173,G.I. Joe: The Rise of Cobra,No Talking between Women,FAIL,175000000,150201498,302469017,,
2009,tt1034032,Gamer,No Talking between Women,FAIL,50000000,20534907,35062683,,
2009,tt1194263,Get Low,No Talking between Women,FAIL,7000000,9176933,9696933,,
2009,tt1289406,Harry Brown,No Talking between Women,FAIL,7300000,1818681,6294140,,
2009,tt1024744,I Come with the Rain,Less than Two Women,FAIL,18000000,0,627422,,
2009,tt1045772,I Love You Phillip Morris,No Talking between Women,FAIL,13000000,2037459,15144685,,
2009,tt1155056,"I Love You, Man",Conversation About Men Only,FAIL,40000000,71440011,91729503,,
2009,tt1080016,Ice Age: Dawn of the Dinosaurs,No Talking between Women,FAIL,90000000,196573705,886968695,,
2009,tt0361748,Inglourious Basterds,Dubious,FAIL,70000000,120831050,316971720,,
2009,tt1057500,Invictus,No Talking between Women,FAIL,49000000,37491364,124491364,,
2009,tt0448011,Knowing,No Talking between Women,FAIL,50000000,79957634,187858642,,
2009,tt1197624,Law Abiding Citizen,No Talking between Women,FAIL,53000000,73357727,131159781,,
2009,tt1149361,Micmacs (Micmacs &agrave; tire-larigot),Dubious,FAIL,42000000,1259693,11756922,,
2009,tt0892782,Monsters vs Aliens,Dubious,FAIL,175000000,198351526,381687380,,
2009,tt1182345,Moon,No Talking between Women,FAIL,5000000,5010163,10676073,,
2009,tt1179891,My Bloody Valentine 3D,Conversation About Men Only,FAIL,14000000,51545952,102754998,,
2009,tt0875034,Nine,Conversation About Men Only,FAIL,80000000,19676965,53508858,,
2009,tt1186367,Ninja Assassin,No Talking between Women,FAIL,50000000,38122883,61622883,,
2009,tt1266029,Nowhere Boy,Dubious,FAIL,1900000,1445366,7785229,,
2009,tt1532957,Paa,Conversation About Men Only,FAIL,4300000,199228,9791282,,
2009,tt1188729,Pandorum,No Talking between Women,FAIL,40000000,10330853,17033431,,
2009,tt1003034,Perrier&#39;s Bounty,Less than Two Women,FAIL,6600000,828,828,,
2009,tt0762125,Planet 51,No Talking between Women,FAIL,60000000,42194060,108996113,,
2009,tt1152836,Public Enemies,No Talking between Women,FAIL,102500000,97104620,210379983,,
2009,tt0988045,Sherlock Holmes,No Talking between Women,FAIL,90000000,209028679,498438212,,
2009,tt0986263,Surrogates,No Talking between Women,FAIL,80000000,38577772,119668350,,
2009,tt0438488,Terminator Salvation,Conversation About Men Only,FAIL,200000000,125322469,371628539,,
2009,tt0878804,The Blind Side,Conversation About Men Only,FAIL,35000000,255959475,305705795,,
2009,tt1131729,The Boat That Rocked,Less than Two Women,FAIL,50000000,8017467,37472651,,
2009,tt1300851,The Boondock Saints II: All Saints Day,Less than Two Women,FAIL,8000000,10273187,10273187,,
2009,tt1132620,The Girl with the Dragon Tattoo,Dubious,FAIL,90000000,102515793,233170238,,
2009,tt1103982,The Girlfriend Experience,Dubious,FAIL,1300000,695840,1005840,,
2009,tt1119646,The Hangover,No Talking between Women,FAIL,35000000,277322503,469553471,,
2009,tt1054606,The Imaginarium of Doctor Parnassus,No Talking between Women,FAIL,30000000,7689607,64352607,,
2009,tt1130080,The Informant!,No Talking between Women,FAIL,22000000,33316821,41771168,,
2009,tt1058017,The Invention of Lying,Conversation About Men Only,FAIL,18500000,18451251,32679264,,
2009,tt1234548,The Men Who Stare at Goats,Less than Two Women,FAIL,24000000,32428195,67348218,,
2009,tt0790712,The Messenger,No Talking between Women,FAIL,6500000,1109660,1409660,,
2009,tt1041829,The Proposal,Conversation About Men Only,FAIL,40000000,163958031,314709717,,
2009,tt0898367,The Road,No Talking between Women,FAIL,25000000,8114270,27614270,,
2009,tt0485601,The Secret of Kells,Less than Two Women,FAIL,8000000,690290,2600916,,
2009,tt0821642,The Soloist,No Talking between Women,FAIL,60000000,31720158,38454152,,
2009,tt1111422,The Taking of Pelham 123,Less than Two Women,FAIL,110000000,65452312,152364370,,
